able	能;有能力的	⠁⠃⠇⠑
work	工作;	⠐⠺
worm	蠕動;潛行;鑽入	⠺⠕⠗⠍
worry	擔心	⠺⠕⠗⠗⠽
write	寫	⠺⠗⠊⠞⠑
zero	把...調整歸零	⠵⠻⠕
cannot	不能	⠸⠉
may	可能	⠍⠁⠽
must	必須	⠍⠌
shall	將;應該	⠩
about	在四周;在附近;大約	⠁⠃
across	橫過;寬;在對面;向對面	⠁⠉⠗
after	以後；之後;在後面；隨後	⠁⠋
again	再一次	⠁⠛
ago	以前	⠁⠛⠕
ahead	在前;向前;預先;事前	⠁⠓⠂⠙
almost	幾乎	⠁⠇⠍
along	向前;一起;帶著;來到;去到	⠁⠇⠰⠛
already	已經	⠁⠇⠗
also	也	⠁⠇
always	總是	⠁⠇⠺
around	到處；四處;周圍；附近;環繞;大約	⠜⠨⠙
as	跟...一樣地；同樣地;如同;例如	⠵
away	離開	⠁⠺⠁⠽
before	較早;以前;曾經;在前;向前	⠆⠋
behind	在背後;向背後;遲;落後	⠆⠓
below	在下面;到下面	⠆⠇
between	在中間;介乎兩者之間	⠆⠞
but	只；僅僅；才;絕對地	⠃
by	經過;過去;在旁邊	⠃⠽
else	其他；另外;否則；要不然	⠑⠇⠎⠑
ever	從來;曾經	⠐⠑
here	在這裡	⠐⠓
how	如何	⠓⠪
maybe	可能;也許	⠍⠁⠽⠃⠑
never	永不	⠝⠐⠑
nope	(否定的答話)不是;沒有;不可以	⠝⠕⠏⠑
not	不	⠝
now	現在	⠝⠪
often	常常	⠷⠞⠢
on	繼續;向前;開著;;在進行中	⠕⠝
once	一次	⠕⠝⠉⠑
only	只；僅僅；才;不料;反而	⠕⠝⠇⠽
over	在上方;越過;過分；太;再一次	⠕⠧⠻
perhaps	或許;可能	⠏⠻⠓
quite	完全地;相當	⠟
since	此後;之前；以前	⠎⠔⠉⠑
so	這麼;也如此	⠎
sometimes	有時候	⠐⠎⠐⠞⠎
soon	即刻;不久	⠎⠕⠕⠝
there	在那裡	⠐⠮
though	(一般放在句尾)然而；還是	⠹⠳⠣
thus	如此；這樣	⠹⠥⠎
today	今天	⠞⠙
together	一同	⠞⠛⠗
tomorrow	明天	⠞⠍
tonight	今夜;今晚	⠞⠝
too	也是;過於	⠞⠕⠕
twice	兩次	⠞⠺⠊⠉⠑
under	在下面；在下方;從屬地	⠐⠥
very	很;非常	⠧
when	何時	⠱⠢
where	在哪兒	⠐⠱
why	為什麼	⠱⠽
yeah	是	⠽⠂⠓
yes	是	⠽⠑⠎
yesterday	昨天	⠽⠑⠌⠻⠐⠙
yet	尚未;但是	⠽⠑⠞
according	to	⠁⠉
against	反對	⠁⠛⠌
among	在...之中	⠁⠍⠰⠛
at	在	⠁⠞
beside	在...旁側	⠆⠎
during	在…期間	⠙⠥⠗⠬
excepting	除...之外	⠑⠭⠉⠑⠏⠞⠬
for	為…做的;給	⠿
from	從	⠋
into	進入	⠔⠞⠕
of	…的；屬於	⠷
than	比;	⠹⠁⠝
till	直到	⠞⠊⠇⠇
to	到;向	⠞⠕
toward	向;對	⠞⠪⠜⠙
towards	向；朝;面對;將近;大約	⠞⠪⠜⠙⠎
until	直到	⠥⠝⠞⠊⠇
with	跟...在一起;有	⠾
and	和；及；而；就	⠯
because	因為	⠆⠉
if	如果	⠊⠋
nor	亦不	⠝⠕⠗
or	或	⠕⠗
whether	是否	⠱⠑⠮⠗
action	動作	⠁⠉⠰⠝
actor	男演員	⠁⠉⠞⠕⠗
actress	女演員	⠁⠉⠞⠗⠑⠎⠎
afternoon	下午;午後	⠁⠋⠝
agreement	同意	⠁⠛⠗⠑⠑⠰⠞
air	空氣	⠁⠊⠗
airmail	航空郵件	⠁⠊⠗⠍⠁⠊⠇
airplane	飛機	⠁⠊⠗⠏⠇⠁⠝⠑
airport	飛機場	⠁⠊⠗⠏⠕⠗⠞
anger	生氣	⠁⠝⠛⠻
animal	動物	⠁⠝⠊⠍⠁⠇
ant	螞蟻	⠁⠝⠞
apple	蘋果	⠁⠏⠏⠇⠑
April	四月	⠠⠁⠏⠗⠊⠇
area	地區;面積	⠜⠑⠁
arm	手臂	⠜⠍
army	軍隊;大群	⠜⠍⠽
art	藝術	⠜⠞
August	八月	⠠⠁⠥⠛⠥⠌
aunt	姨媽;姑媽	⠁⠥⠝⠞
auntie	(aunt	⠁⠥⠝⠞⠊⠑
aunty	(aunt	⠁⠥⠝⠞⠽
autumn	秋季	⠁⠥⠞⠥⠍⠝
baby	嬰兒	⠃⠁⠃⠽
bag	袋子	⠃⠁⠛
banana	香蕉	⠃⠁⠝⠁⠝⠁
band	樂團;樂隊	⠃⠯
barber	男理髮師	⠃⠜⠃⠻
baseball	棒球	⠃⠁⠎⠑⠃⠁⠇⠇
basket	籃子	⠃⠁⠎⠅⠑⠞
basketball	籃球	⠃⠁⠎⠅⠑⠞⠃⠁⠇⠇
bath	洗澡	⠃⠁⠹
bathroom	廁所;浴室	⠃⠁⠹⠗⠕⠕⠍
bear	熊	⠃⠑⠜
beauty	美貌;美人	⠃⠂⠥⠞⠽
bed	床	⠃⠫
bee	蜜蜂	⠃⠑⠑
bell	鈴;鐘	⠃⠑⠇⠇
bicycle	腳踏車	⠃⠊⠉⠽⠉⠇⠑
bike	腳踏車	⠃⠊⠅⠑
bird	鳥	⠃⠊⠗⠙
birth	出生;起源	⠃⠊⠗⠹
bit	小片；;少量；一點點;片刻;位元	⠃⠊⠞
blood	血	⠃⠇⠕⠕⠙
boat	小船	⠃⠕⠁⠞
body	身體	⠃⠕⠙⠽
bone	骨頭	⠃⠐⠕
bowl	碗	⠃⠪⠇
boy	男孩	⠃⠕⠽
bread	麵包	⠃⠗⠂⠙
brother	兄;弟	⠃⠗⠕⠮⠗
buck	雄性動物(鹿、羊或兔等)	⠃⠥⠉⠅
building	建築物	⠃⠥⠊⠇⠙⠬
butterfly	蝴蝶	⠃⠥⠞⠞⠻⠋⠇⠽
bye	次要的東西;(體育比賽中)輪空	⠃⠽⠑
cab	計程車;出租馬車	⠉⠁⠃
cake	蛋糕	⠉⠁⠅⠑
camel	駱駝	⠉⠁⠍⠑⠇
camera	照相機	⠉⠁⠍⠻⠁
candy	糖果	⠉⠯⠽
car	汽車	⠉⠜
card	卡片	⠉⠜⠙
cat	貓	⠉⠁⠞
cent	分(錢幣)	⠉⠢⠞
chick	小雞	⠡⠊⠉⠅
chicken	雞;雞肉	⠡⠊⠉⠅⠢
child	小孩	⠡
Christmas	耶誕節	⠠⠡⠗⠊⠌⠍⠁⠎
church	教堂	⠡⠥⠗⠡
city	都市	⠉⠰⠽
clock	鐘	⠉⠇⠕⠉⠅
coast	海岸	⠉⠕⠁⠌
cocoa	可可粉;可可樹;可可色	⠉⠕⠉⠕⠁
coffee	咖啡	⠉⠷⠋⠑⠑
Coke	可口可樂	⠠⠉⠕⠅⠑
cola	可樂	⠉⠕⠇⠁
cookie	餅乾	⠉⠕⠕⠅⠊⠑
cooky	cookie	⠉⠕⠕⠅⠽
cop	警察	⠉⠕⠏
corn	玉米	⠉⠕⠗⠝
country	國家;鄉下	⠉⠨⠞⠗⠽
cow	母牛	⠉⠪
cowboy	牛仔	⠉⠪⠃⠕⠽
crow	鴉；烏鴉	⠉⠗⠪
cub	幼鯨;牛棚	⠉⠥⠃
dad	父親	⠙⠁⠙
daddy	父親	⠙⠁⠙⠙⠽
dancer	舞蹈演員;舞蹈家	⠙⠨⠑⠗
danger	危險	⠙⠁⠝⠛⠻
daughter	女兒	⠙⠁⠥⠣⠞⠻
day	白天;日	⠐⠙
death	死亡	⠙⠂⠹
December	十二月	⠠⠙⠑⠉⠑⠍⠃⠻
deer	鹿	⠙⠑⠻
desk	書桌	⠙⠑⠎⠅
dinner	晚餐	⠙⠔⠝⠻
dog	狗	⠙⠕⠛
doll	洋娃娃	⠙⠕⠇⠇
dollar	美元	⠙⠕⠇⠇⠜
door	門	⠙⠕⠕⠗
dove	鴿	⠙⠕⠧⠑
dozen	一打	⠙⠕⠵⠢
drinking	喝酒	⠙⠗⠔⠅⠬
driver	司機	⠙⠗⠊⠧⠻
duckling	小鴨	⠙⠥⠉⠅⠇⠬
eagle	老鷹	⠑⠁⠛⠇⠑
ear	耳朵	⠑⠜
earth	地球;土地	⠑⠜⠹
egg	蛋	⠑⠛⠛
elephant	大象	⠑⠇⠑⠏⠓⠁⠝⠞
evening	傍晚	⠑⠧⠢⠬
exam	考試	⠑⠭⠁⠍
examination	檢查；調查	⠑⠭⠁⠍⠔⠁⠰⠝
example	例子	⠑⠭⠁⠍⠏⠇⠑
fact	事實	⠋⠁⠉⠞
factory	工廠	⠋⠁⠉⠞⠕⠗⠽
family	家庭	⠋⠁⠍⠊⠇⠽
farmer	農夫	⠋⠜⠍⠻
February	二月	⠠⠋⠑⠃⠗⠥⠜⠽
feeling	感覺	⠋⠑⠑⠇⠬
feelings	感覺；觸覺	⠋⠑⠑⠇⠬⠎
food	食物	⠋⠕⠕⠙
forest	森林	⠿⠑⠌
Friday	星期五	⠠⠋⠗⠊⠐⠙
friend	朋友	⠋⠗
frog	青蛙	⠋⠗⠕⠛
fun	樂趣	⠋⠥⠝
game	比賽;遊戲	⠛⠁⠍⠑
ghost	鬼	⠣⠕⠌
gift	禮物	⠛⠊⠋⠞
girl	女孩	⠛⠊⠗⠇
glass	玻璃杯;玻璃	⠛⠇⠁⠎⠎
glasses	眼鏡	⠛⠇⠁⠎⠎⠑⠎
god	上帝	⠛⠕⠙
goddess	女神	⠛⠕⠙⠙⠑⠎⠎
good-by	告別；再見；道別的話	⠛⠙⠤⠃⠽
good-bye	告別	⠛⠙⠤⠃⠽⠑
goose	鵝	⠛⠕⠕⠎⠑
grandchild	孫子;孫女;外孫;外孫女	⠛⠗⠯⠡⠊⠇⠙
granddaughter	孫女;外孫女	⠛⠗⠯⠙⠁⠥⠣⠞⠻
grandfather	祖父;外祖父	⠛⠗⠯⠐⠋
grandma	祖母;外祖母	⠛⠗⠯⠍⠁
grandmother	祖母;外祖母	⠛⠗⠯⠐⠍
grandpa	祖父;外祖父	⠛⠗⠯⠏⠁
grandson	孫子;外孫	⠛⠗⠯⠎⠕⠝
grass	草	⠛⠗⠁⠎⠎
hair	頭髮	⠓⠁⠊⠗
haircut	理髮	⠓⠁⠊⠗⠉⠥⠞
ham	火腿	⠓⠁⠍
hat	帽子	⠓⠁⠞
health	健康	⠓⠂⠇⠹
heart	心臟	⠓⠑⠜⠞
hello	表示問候的叫聲	⠓⠑⠇⠇⠕
hill	丘陵	⠓⠊⠇⠇
history	歷史	⠓⠊⠌⠕⠗⠽
holiday	假日	⠓⠕⠇⠊⠐⠙
homework	家庭作業	⠓⠕⠍⠑⠐⠺
horse	馬	⠓⠕⠗⠎⠑
hour	小時	⠓⠳⠗
husband	丈夫	⠓⠥⠎⠃⠯
ice	冰	⠊⠉⠑
idea	主意	⠊⠙⠑⠁
January	一月	⠠⠚⠁⠝⠥⠜⠽
job	職業;工作	⠚⠕⠃
joy	歡喜;樂趣	⠚⠕⠽
juice	果汁	⠚⠥⠊⠉⠑
July	七月	⠠⠚⠥⠇⠽
June	六月	⠠⠚⠥⠝⠑
keeper	保管人;守衛	⠅⠑⠑⠏⠻
king	國王	⠅⠬
kitchen	廚房	⠅⠊⠞⠡⠢
kite	風箏	⠅⠊⠞⠑
kitten	小貓	⠅⠊⠞⠞⠢
kitty	小貓	⠅⠊⠞⠞⠽
lady	淑女	⠇⠁⠙⠽
lake	湖	⠇⠁⠅⠑
lamp	燈	⠇⠁⠍⠏
law	法律	⠇⠁⠺
leader	領袖	⠇⠂⠙⠻
leg	腿	⠇⠑⠛
lesson	課;教訓	⠇⠑⠎⠎⠕⠝
letter	信;字母	⠇⠗
life	人生;生命	⠇⠊⠋⠑
lily	百合花	⠇⠊⠇⠽
lion	獅子	⠇⠊⠕⠝
lip	嘴唇	⠇⠊⠏
lot	很多；多數;一批;一塊地	⠇⠕⠞
luncheon	午餐；(正式的)午餐會	⠇⠥⠝⠡⠑⠕⠝
ma	媽	⠍⠁
mama	(兒語)媽媽	⠍⠁⠍⠁
mamma	mama	⠍⠁⠍⠍⠁
meat	肉類	⠍⠂⠞
mile	英哩	⠍⠊⠇⠑
minute	分鐘	⠍⠔⠥⠞⠑
mister	先生	⠍⠊⠌⠻
mom	母親	⠍⠕⠍
moment	片刻	⠍⠕⠰⠞
mommy	母親	⠍⠕⠍⠍⠽
Monday	星期一	⠠⠍⠕⠝⠐⠙
money	錢	⠍⠐⠕⠽
monkey	猴子	⠍⠕⠝⠅⠑⠽
month	月份	⠍⠕⠝⠹
moon	月亮	⠍⠕⠕⠝
morning	早晨	⠍⠕⠗⠝⠬
mountain	山	⠍⠨⠞⠁⠔
mouse	老鼠;	⠍⠳⠎⠑
movement	動作	⠍⠕⠧⠑⠰⠞
movie	電影	⠍⠕⠧⠊⠑
mud	泥巴	⠍⠥⠙
mug	(有柄)大杯子	⠍⠥⠛
mummy	木乃伊;(兒語)媽媽	⠍⠥⠍⠍⠽
music	音樂	⠍⠥⠎⠊⠉
nation	國家	⠝⠁⠰⠝
nature	自然	⠝⠁⠞⠥⠗⠑
news	新聞	⠝⠑⠺⠎
newspaper	報紙	⠝⠑⠺⠎⠏⠁⠏⠻
night	夜晚	⠝⠊⠣⠞
noise	噪音	⠝⠕⠊⠎⠑
noon	中午	⠝⠕⠕⠝
nothing	無事;無物;沒什麼	⠝⠕⠹⠬
November	十一月	⠠⠝⠕⠧⠑⠍⠃⠻
ocean	海洋	⠕⠉⠂⠝
o'clock	點鐘	⠕⠄⠉⠇⠕⠉⠅
October	十月	⠠⠕⠉⠞⠕⠃⠻
office	辦公室	⠷⠋⠊⠉⠑
officer	軍官;官員	⠷⠋⠊⠉⠻
pa	爸	⠏⠁
page	頁	⠏⠁⠛⠑
pants	褲子	⠏⠁⠝⠞⠎
papa	爸爸	⠏⠁⠏⠁
parent	雙親之一	⠏⠜⠢⠞
payment	支付；付款	⠏⠁⠽⠰⠞
person	人	⠏⠻⠎⠕⠝
piano	鋼琴	⠏⠊⠁⠝⠕
pie	派(食品)	⠏⠊⠑
plane	飛機	⠏⠇⠁⠝⠑
player	遊戲者;運動者;表演者	⠏⠇⠁⠽⠻
playground	遊樂場;運動場	⠏⠇⠁⠽⠛⠗⠨⠙
poetry	詩；詩歌；韻文	⠏⠕⠑⠞⠗⠽
policeman	警察；警員	⠏⠕⠇⠊⠉⠑⠍⠁⠝
pond	池塘	⠏⠕⠝⠙
pop	砰的一聲	⠏⠕⠏
popcorn	爆米花	⠏⠕⠏⠉⠕⠗⠝
problem	問題	⠏⠗⠕⠃⠇⠑⠍
purpose	目的	⠏⠥⠗⠏⠕⠎⠑
queen	皇后	⠟⠥⠑⠢
railroad	鐵路	⠗⠁⠊⠇⠗⠕⠁⠙
rainbow	彩虹	⠗⠁⠔⠃⠪
rat	老鼠	⠗⠁⠞
rice	稻米;飯	⠗⠊⠉⠑
river	河流	⠗⠊⠧⠻
road	道路	⠗⠕⠁⠙
robot	機器人	⠗⠕⠃⠕⠞
rock	岩石;搖滾樂	⠗⠕⠉⠅
rooster	雄雞;狂妄自負的人	⠗⠕⠕⠌⠻
rose	玫瑰	⠗⠕⠎⠑
rubber	橡膠	⠗⠥⠆⠻
sale	售賣;賤賣	⠎⠁⠇⠑
Saturday	星期六	⠠⠎⠁⠞⠥⠗⠐⠙
scene	景色;場面	⠎⠉⠢⠑
sea	海	⠎⠑⠁
season	季節	⠎⠂⠎⠕⠝
self	自身；自己;自我	⠎⠑⠇⠋
September	九月	⠠⠎⠑⠏⠞⠑⠍⠃⠻
shark	鯊魚	⠩⠜⠅
sheep	綿羊	⠩⠑⠑⠏
sheet	一張(紙);床單	⠩⠑⠑⠞
shirt	襯衫	⠩⠊⠗⠞
shoe	鞋子	⠩⠕⠑
shore	岸邊	⠩⠕⠗⠑
shot	射擊；開槍;投籃;拍攝	⠩⠕⠞
side	邊	⠎⠊⠙⠑
singer	歌手	⠎⠬⠻
sir	先生	⠎⠊⠗
sister	姊妹	⠎⠊⠌⠻
skill	技能	⠎⠅⠊⠇⠇
sky	天空	⠎⠅⠽
soda	蘇打;汽水	⠎⠕⠙⠁
sofa	沙發	⠎⠷⠁
someone	某人;有名氣的人	⠐⠎⠐⠕
something	某人;某事;重要的人(或事物);	⠐⠎⠹⠬
son	兒子	⠎⠕⠝
song	歌曲	⠎⠰⠛
soul	靈魂	⠎⠳⠇
soup	湯	⠎⠳⠏
speech	言論;演講	⠎⠏⠑⠑⠡
stair	梯級;樓梯	⠌⠁⠊⠗
statement	陳述；說明;結單	⠌⠁⠞⠑⠰⠞
story	故事;樓層	⠌⠕⠗⠽
street	街道	⠌⠗⠑⠑⠞
student	學生	⠌⠥⠙⠢⠞
summer	夏天	⠎⠥⠍⠍⠻
Sunday	星期日	⠠⠎⠥⠝⠐⠙
supper	晚餐	⠎⠥⠏⠏⠻
table	桌子;表；目錄	⠞⠁⠃⠇⠑
tale	故事；傳說;謊話	⠞⠁⠇⠑
taxi	計程車	⠞⠁⠭⠊
taxicab	計程車	⠞⠁⠭⠊⠉⠁⠃
tea	茶	⠞⠑⠁
teacher	老師	⠞⠂⠡⠻
thing	事物;東西	⠹⠬
thought	思想	⠹⠐⠳
Thursday	星期四	⠠⠹⠥⠗⠎⠐⠙
tiger	老虎	⠞⠊⠛⠻
tone	音色；音調;色調	⠞⠐⠕
town	城市	⠞⠪⠝
tree	樹木	⠞⠗⠑⠑
T-shirt	短袖圓領運動衫	⠰⠠⠞⠤⠩⠊⠗⠞
Tuesday	星期二	⠠⠞⠥⠑⠎⠐⠙
uncle	叔叔	⠥⠝⠉⠇⠑
unit	單位;單元;組件	⠥⠝⠊⠞
vegetable	蔬菜	⠧⠑⠛⠑⠞⠁⠃⠇⠑
warming	暖和；加溫	⠺⠜⠍⠬
way	方法;路	⠺⠁⠽
wedding	婚禮	⠺⠫⠙⠬
Wednesday	星期三	⠠⠺⠫⠝⠑⠎⠐⠙
week	星期	⠺⠑⠑⠅
weight	重量	⠺⠑⠊⠣⠞
wife	妻子	⠺⠊⠋⠑
window	窗戶	⠺⠔⠙⠪
winter	冬天	⠺⠔⠞⠻
woman	女人	⠺⠕⠍⠁⠝
wood	木材	⠺⠕⠕⠙
worker	工人	⠐⠺⠻
world	世界	⠸⠺
writer	作家	⠺⠗⠊⠞⠻
Xmas	耶誕節	⠠⠭⠍⠁⠎
yam	山芋類植物	⠽⠁⠍
year	年	⠽⠑⠜
zoo	動物園	⠵⠕⠕
