aboriginal	原住民的	⠁⠃⠕⠗⠊⠛⠔⠁⠇
administrator	管理人;行政官員	⠁⠙⠍⠔⠊⠌⠗⠁⠞⠕⠗
aggression	侵略;侵犯行為	⠁⠶⠗⠑⠎⠨⠝
alliance	結盟;聯盟	⠁⠇⠇⠊⠨⠑
ambiguity	意義不明確;模稜兩可的話	⠁⠍⠃⠊⠛⠥⠰⠽
ambulance	救護車	⠁⠍⠃⠥⠇⠨⠑
analyst	分析師	⠁⠝⠁⠇⠽⠌
anchorman	男主播	⠁⠝⠡⠕⠗⠍⠁⠝
anchorwoman	女主播	⠁⠝⠡⠕⠗⠺⠕⠍⠁⠝
annoyance	惱怒;打擾;討厭的東西(或人)	⠁⠝⠝⠕⠽⠨⠑
antenna	觸角;觸鬚;天線	⠁⠝⠞⠢⠝⠁
anticipation	預期	⠁⠝⠞⠊⠉⠊⠏⠁⠰⠝
artery	動脈;要道	⠜⠞⠻⠽
artifact	人工製品;手工藝品	⠜⠞⠊⠋⠁⠉⠞
assessment	估價;評價	⠁⠎⠎⠑⠎⠎⠰⠞
assumption	假設;擔任	⠁⠎⠎⠥⠍⠏⠰⠝
asthma	氣喘(病);哮喘	⠁⠎⠹⠍⠁
attainment	達到;獲得;到達;成就;學識；才能	⠁⠞⠞⠁⠔⠰⠞
aviation	航空;飛行	⠁⠧⠊⠁⠰⠝
barometer	晴雨表;顯示變化的事物	⠃⠜⠕⠍⠑⠞⠻
beverage	飲料	⠃⠐⠑⠁⠛⠑
binoculars	雙筒望遠鏡	⠃⠔⠕⠉⠥⠇⠜⠎
biochemistry	生物化學	⠃⠊⠕⠡⠑⠍⠊⠌⠗⠽
bout	(拳擊等)比賽;較量;(疾病等)發作	⠃⠳⠞
breakdown	故障;損壞;崩潰;分析	⠃⠗⠂⠅⠙⠪⠝
breakthrough	突圍;突破;突破性進展	⠃⠗⠂⠅⠐⠹
breakup	分裂;關係破裂;解體	⠃⠗⠂⠅⠥⠏
brink	邊;邊緣	⠃⠗⠔⠅
brochure	小冊子	⠃⠗⠕⠡⠥⠗⠑
bureaucracy	官僚政治;(總稱)官僚	⠃⠥⠗⠂⠥⠉⠗⠁⠉⠽
caffeine	咖啡因	⠉⠁⠖⠑⠔⠑
capability	能力;性能	⠉⠁⠏⠁⠃⠊⠇⠰⠽
captivity	囚禁;束縛	⠉⠁⠏⠞⠊⠧⠰⠽
carbohydrate	碳水化合物;含醣食物	⠉⠜⠃⠕⠓⠽⠙⠗⠁⠞⠑
carol	(耶誕)頌歌;讚美詩	⠉⠜⠕⠇
cashier	出納員	⠉⠁⠩⠊⠻
catastrophe	大災難;慘敗	⠉⠁⠞⠁⠌⠗⠕⠏⠓⠑
cavity	洞;(身體的)腔;(牙的)蛀洞	⠉⠁⠧⠰⠽
cemetery	公墓;墓地	⠉⠑⠍⠑⠞⠻⠽
certainty	確實;必然	⠉⠻⠞⠁⠔⠞⠽
champagne	香檳酒;香檳酒色	⠡⠁⠍⠏⠁⠛⠝⠑
chaos	混亂;雜亂的一團	⠡⠁⠕⠎
charcoal	木炭;炭筆;深灰色	⠡⠜⠉⠕⠁⠇
cholesterol	膽固醇	⠡⠕⠇⠑⠌⠻⠕⠇
chunk	(肉、木材等的)大塊;厚片	⠡⠥⠝⠅
clarity	(思想、文體等的)清楚;明晰	⠉⠇⠜⠰⠽
clearance	清掃;出空;清倉大拍賣	⠉⠇⠑⠜⠨⠑
coffin	棺材;靈柩	⠉⠷⠋⠔
coincidence	巧合	⠉⠕⠔⠉⠊⠙⠰⠑
collision	相撞;衝突;抵觸	⠉⠕⠇⠇⠊⠨⠝
columnist	專欄作家	⠉⠕⠇⠥⠍⠝⠊⠌
commentary	評論;註釋	⠉⠕⠍⠰⠞⠜⠽
commitment	託付；交託;	⠉⠕⠍⠍⠊⠞⠰⠞
companionship	友誼;交往;伴侶關係	⠉⠕⠍⠏⠁⠝⠊⠕⠝⠩⠊⠏
compensation	補償;賠償;報酬	⠉⠕⠍⠏⠢⠎⠁⠰⠝
competence	能力;勝任;稱職	⠉⠕⠍⠏⠑⠞⠰⠑
complexity	複雜(性);錯綜(性)	⠉⠕⠍⠏⠇⠑⠭⠰⠽
complication	複雜(化);併發症;(新出現的)困難	⠉⠕⠍⠏⠇⠊⠉⠁⠰⠝
conceit	自滿;自負	⠒⠉⠑⠊⠞
conception	概念;創始	⠒⠉⠑⠏⠰⠝
concession	讓步;讓予物	⠒⠉⠑⠎⠨⠝
confrontation	對抗	⠒⠋⠗⠕⠝⠞⠁⠰⠝
congressman	美國眾議院議員	⠒⠛⠗⠑⠎⠎⠍⠁⠝
congresswoman	國會女議員;女眾議員	⠒⠛⠗⠑⠎⠎⠺⠕⠍⠁⠝
conquest	征服;克服;佔領	⠒⠟⠥⠑⠌
consensus	一致;合意;輿論	⠒⠎⠢⠎⠥⠎
conservation	保存;(對自然資源的)保護	⠒⠎⠻⠧⠁⠰⠝
consolation	安慰;慰藉	⠒⠎⠕⠇⠁⠰⠝
conspiracy	陰謀;謀叛;共謀	⠒⠎⠏⠊⠗⠁⠉⠽
consultation	諮詢;商議	⠒⠎⠥⠇⠞⠁⠰⠝
consumption	消耗;用盡;消耗量	⠒⠎⠥⠍⠏⠰⠝
contemplation	凝視;沈思;冥想	⠒⠞⠑⠍⠏⠇⠁⠰⠝
contestant	參加競賽者;角逐者	⠒⠞⠑⠌⠁⠝⠞
contractor	承包商;立契約者	⠒⠞⠗⠁⠉⠞⠕⠗
contradiction	矛盾;否認;反駁	⠒⠞⠗⠁⠙⠊⠉⠰⠝
controversy	爭論;爭議	⠒⠞⠗⠕⠧⠻⠎⠽
conviction	定罪;證明有罪;確信	⠒⠧⠊⠉⠰⠝
correspondent	通信者;通訊記者	⠉⠕⠗⠗⠑⠎⠏⠕⠝⠙⠢⠞
corruption	墮落;腐化;貪污;賄賂	⠉⠕⠗⠗⠥⠏⠰⠝
counterpart	對應的人(或物)	⠉⠨⠞⠻⠐⠏
coverage	覆蓋範圍;保險項目;新聞報導	⠉⠕⠧⠻⠁⠛⠑
credibility	可信性;確實性	⠉⠗⠫⠊⠃⠊⠇⠰⠽
criterion	(判斷、批評的)標準;尺度	⠉⠗⠊⠞⠻⠊⠕⠝
cruiser	巡洋艦;遊艇;警察巡邏車	⠉⠗⠥⠊⠎⠻
daffodil	黃水仙花;淡黃色	⠙⠁⠖⠕⠙⠊⠇
dandruff	頭皮屑	⠙⠯⠗⠥⠋⠋
daybreak	黎明;破曉	⠐⠙⠃⠗⠂⠅
dedication	奉獻;揭幕儀式;獻身	⠙⠫⠊⠉⠁⠰⠝
deficiency	不足;缺陷;缺點	⠙⠑⠋⠊⠉⠊⠢⠉⠽
density	密度	⠙⠢⠎⠰⠽
descendant	後裔;從某一來源傳下的東西	⠙⠑⠎⠉⠢⠙⠁⠝⠞
descent	下降;下傾;血統	⠙⠑⠎⠉⠢⠞
diameter	直徑	⠙⠊⠁⠍⠑⠞⠻
dictation	口述;聽寫	⠙⠊⠉⠞⠁⠰⠝
dimension	(長;寬;厚;高等的)尺寸;大小	⠙⠊⠍⠢⠨⠝
disability	無能;殘障	⠲⠁⠃⠊⠇⠰⠽
disclosure	透露;揭發的事情	⠲⠉⠇⠕⠎⠥⠗⠑
discrimination	歧視;辨別力	⠲⠉⠗⠊⠍⠔⠁⠰⠝
disposal	處理;(自由)處置權	⠲⠏⠕⠎⠁⠇
distraction	分心;注意力分散	⠲⠞⠗⠁⠉⠰⠝
disturbance	擾亂;打擾	⠲⠞⠥⠗⠃⠨⠑
diversion	轉向;轉移;分散注意力	⠙⠊⠧⠻⠨⠝
diversity	差異;多樣性	⠙⠊⠧⠻⠎⠰⠽
doctrine	教義;信條	⠙⠕⠉⠞⠗⠔⠑
donation	捐獻;捐款	⠙⠕⠝⠁⠰⠝
drought	旱災	⠙⠗⠐⠳
ecstasy	狂喜;入迷	⠑⠉⠌⠁⠎⠽
eloquence	雄辯;(流利的)口才	⠑⠇⠕⠟⠥⠰⠑
emigration	移居;(總稱)移民	⠑⠍⠊⠛⠗⠁⠰⠝
enactment	(法律的)制定;法規；條例	⠢⠁⠉⠞⠰⠞
enclosure	封入;圈地;圍牆;附件	⠢⠉⠇⠕⠎⠥⠗⠑
encyclopedia	百科全書	⠢⠉⠽⠉⠇⠕⠏⠫⠊⠁
endurance	忍耐；耐久力	⠢⠙⠥⠗⠨⠑
enhancement	提高；增加	⠢⠓⠨⠑⠰⠞
enlightenment	啟蒙;教化;開明	⠢⠇⠊⠣⠞⠢⠰⠞
enrichment	致富;豐富;添加肥料;增強食品營養	⠢⠗⠊⠡⠰⠞
equation	方程式;等式;相等	⠑⠟⠥⠁⠰⠝
eruption	爆發;噴出	⠻⠥⠏⠰⠝
essence	本質;要素;精華;精油	⠑⠎⠎⠰⠑
eternity	永遠;永恆;永世	⠑⠞⠻⠝⠰⠽
evolution	發展；進展	⠑⠧⠕⠇⠥⠰⠝
execution	實行;執行;死刑	⠑⠭⠑⠉⠥⠰⠝
expedition	遠征(隊);探險(隊)	⠑⠭⠏⠫⠊⠰⠝
expertise	專門知識;專門技術	⠑⠭⠏⠻⠞⠊⠎⠑
expiration	失效;期滿;吐氣	⠑⠭⠏⠊⠗⠁⠰⠝
exploration	勘查;探測	⠑⠭⠏⠇⠕⠗⠁⠰⠝
eyesight	視力；目力	⠑⠽⠑⠎⠊⠣⠞
faction	派別;小集團;派系之爭	⠋⠁⠉⠰⠝
familiarity	熟悉;通曉	⠋⠁⠍⠊⠇⠊⠜⠰⠽
famine	饑荒	⠋⠁⠍⠔⠑
fascination	迷戀;陶醉	⠋⠁⠎⠉⠔⠁⠰⠝
federation	聯邦政府;聯邦制度;聯盟	⠋⠫⠻⠁⠰⠝
feedback	反饋的信息	⠋⠑⠫⠃⠁⠉⠅
fertility	肥沃;繁殖力	⠋⠻⠞⠊⠇⠰⠽
fidelity	忠誠;忠貞	⠋⠊⠙⠑⠇⠰⠽
friction	摩擦;不和;爭執	⠋⠗⠊⠉⠰⠝
generator	發電機;產生器	⠛⠢⠻⠁⠞⠕⠗
genetics	遺傳學	⠛⠢⠑⠞⠊⠉⠎
glamour	魅力；誘惑力;迷人的美;妖豔	⠛⠇⠁⠍⠳⠗
glassware	玻璃器皿	⠛⠇⠁⠎⠎⠺⠜⠑
grocer	食品雜貨商	⠛⠗⠕⠉⠻
guerrilla	游擊隊(員)	⠛⠥⠻⠗⠊⠇⠇⠁
hacker	駭客	⠓⠁⠉⠅⠻
harassment	騷擾	⠓⠜⠁⠎⠎⠰⠞
hemisphere	(地球的)半球;半球體	⠓⠑⠍⠊⠎⠏⠐⠓
heritage	遺產;繼承物;傳統	⠓⠻⠊⠞⠁⠛⠑
heroin	海洛因	⠓⠻⠕⠔
hormone	荷爾蒙	⠓⠕⠗⠍⠐⠕
hospitality	好客;殷勤招待	⠓⠕⠎⠏⠊⠞⠁⠇⠰⠽
hostility	敵意;敵視;戰爭行動	⠓⠕⠌⠊⠇⠰⠽
hygiene	衛生;衛生學;保健法	⠓⠽⠛⠊⠢⠑
hypocrite	偽善者;偽君子	⠓⠽⠏⠕⠉⠗⠊⠞⠑
illusion	錯覺;假象;幻想	⠊⠇⠇⠥⠨⠝
implication	含意;言外之意;暗示	⠊⠍⠏⠇⠊⠉⠁⠰⠝
imprisonment	監禁;限止	⠊⠍⠏⠗⠊⠎⠕⠝⠰⠞
indignation	憤怒;憤慨;義憤	⠔⠙⠊⠛⠝⠁⠰⠝
inference	推論；推斷	⠔⠋⠻⠰⠑
ingenuity	心靈手巧;獨創性;足智多謀	⠔⠛⠢⠥⠰⠽
inhabitant	居民；居住者	⠔⠓⠁⠃⠊⠞⠁⠝⠞
injection	注射	⠔⠚⠑⠉⠰⠝
injustice	非正義;不公正	⠔⠚⠥⠌⠊⠉⠑
innovation	革新;創新;新事物	⠔⠝⠕⠧⠁⠰⠝
inquiry	詢問；打聽;質詢	⠔⠟⠥⠊⠗⠽
insight	洞察力;洞悉	⠔⠎⠊⠣⠞
insistence	堅持	⠔⠎⠊⠌⠰⠑
installation	設施;安裝	⠔⠌⠁⠇⠇⠁⠰⠝
installment	分期付款;安置	⠔⠌⠁⠇⠇⠰⠞
institution	機構	⠔⠌⠊⠞⠥⠰⠝
integration	整合;積分	⠔⠞⠑⠛⠗⠁⠰⠝
integrity	正直;廉正;健全	⠔⠞⠑⠛⠗⠰⠽
intellect	智力;理解力;有才智的人	⠔⠞⠑⠇⠇⠑⠉⠞
intersection	交叉點;十字路口	⠔⠞⠻⠎⠑⠉⠰⠝
interval	間隔;距離	⠔⠞⠻⠧⠁⠇
intervention	介入;干預;調停	⠔⠞⠻⠧⠢⠰⠝
intimacy	熟悉;親密;親近	⠔⠞⠊⠍⠁⠉⠽
intruder	侵入者;闖入者	⠔⠞⠗⠥⠙⠻
investigator	調查者;研究者	⠔⠧⠑⠌⠊⠛⠁⠞⠕⠗
irritation	激怒;惱怒	⠊⠗⠗⠊⠞⠁⠰⠝
kernel	(果核或果殼內的)仁;核心；要點	⠅⠻⠝⠑⠇
layout	設計;佈局;版面設計	⠇⠁⠽⠳⠞
legislature	立法機關;(美國的)州議會	⠇⠑⠛⠊⠎⠇⠁⠞⠥⠗⠑
liberation	解放;釋出	⠇⠊⠃⠻⠁⠰⠝
limousine	大轎車	⠇⠊⠍⠳⠎⠔⠑
liner	班輪;眼線筆	⠇⠔⠻
linguist	語言學者;通曉數種外語的人	⠇⠬⠥⠊⠌
liter	公升	⠇⠊⠞⠻
literacy	識字;讀寫能力	⠇⠊⠞⠻⠁⠉⠽
longevity	長壽;壽命	⠇⠰⠛⠑⠧⠰⠽
malaria	瘧疾	⠍⠁⠇⠜⠊⠁
mastery	支配;統治;精通;掌握	⠍⠁⠌⠻⠽
material	材料；原料	⠍⠁⠞⠻⠊⠁⠇
materialism	唯物論;唯物主義	⠍⠁⠞⠻⠊⠁⠇⠊⠎⠍
mechanism	機械裝置;機械作用;結構	⠍⠑⠡⠁⠝⠊⠎⠍
medication	藥物治療;藥物	⠍⠫⠊⠉⠁⠰⠝
meditation	沈思;默想;冥想	⠍⠫⠊⠞⠁⠰⠝
mentality	智力;精神性;心理狀態	⠍⠢⠞⠁⠇⠰⠽
migration	遷移;遷徙;移民群	⠍⠊⠛⠗⠁⠰⠝
miller	磨坊主;碾磨工	⠍⠊⠇⠇⠻
modernization	現代化;現代化的事物	⠍⠕⠙⠻⠝⠊⠵⠁⠰⠝
momentum	動量;氣勢;動力	⠍⠕⠰⠞⠥⠍
morality	道德;倫理;寓意	⠍⠕⠗⠁⠇⠰⠽
mouthpiece	樂器的吹口;電話的送話口;代言人	⠍⠳⠹⠏⠊⠑⠉⠑
mythology	(總稱)神話	⠍⠽⠹⠕⠇⠕⠛⠽
narrator	解說員;敘述者	⠝⠜⠗⠁⠞⠕⠗
nationalism	民族主義;國家主義	⠝⠁⠰⠝⠁⠇⠊⠎⠍
navigation	航海;航空;導航	⠝⠁⠧⠊⠛⠁⠰⠝
negotiation	談判；協商	⠝⠑⠛⠕⠞⠊⠁⠰⠝
newlywed	新結婚的人	⠝⠑⠺⠇⠽⠺⠫
newscaster	新聞廣播員	⠝⠑⠺⠎⠉⠁⠌⠻
nomination	提名;任命	⠝⠕⠍⠔⠁⠰⠝
nominee	被提名人	⠝⠕⠍⠔⠑⠑
nourishment	食物；營養品;養育；滋養	⠝⠳⠗⠊⠩⠰⠞
nuisance	討厭的人(或事物);騷擾行為	⠝⠥⠊⠎⠨⠑
nutrition	營養；滋養	⠝⠥⠞⠗⠊⠰⠝
obligation	(道義上或法律上的)義務	⠕⠃⠇⠊⠛⠁⠰⠝
offering	提供;供奉;捐獻物;供物;課程	⠷⠋⠻⠬
offspring	子女;子孫;後代	⠷⠋⠎⠏⠗⠬
opposition	反對;反抗	⠕⠏⠏⠕⠎⠊⠰⠝
oppression	壓迫;壓制	⠕⠏⠏⠗⠑⠎⠨⠝
option	選擇;選擇權	⠕⠏⠰⠝
ordeal	嚴峻考驗;折磨	⠕⠗⠙⠂⠇
originality	創造力;獨創性;創見;創舉	⠕⠗⠊⠛⠔⠁⠇⠰⠽
outbreak	爆發;暴動	⠳⠞⠃⠗⠂⠅
outing	遠足;郊遊	⠳⠞⠬
outlet	出口;出路;商店	⠳⠞⠇⠑⠞
outlook	觀點;展望;風光;瞭望	⠳⠞⠇⠕⠕⠅
outset	最初;開始;開端	⠳⠞⠎⠑⠞
parliament	議會；國會	⠏⠜⠇⠊⠁⠰⠞
peninsula	半島	⠏⠢⠔⠎⠥⠇⠁
perception	感知;察覺;認知	⠏⠻⠉⠑⠏⠰⠝
perseverance	堅持不懈;堅忍不拔	⠏⠻⠎⠑⠧⠻⠨⠑
persistence	堅持;固執;持續	⠏⠻⠎⠊⠌⠰⠑
pesticide	殺蟲劑	⠏⠑⠌⠊⠉⠊⠙⠑
pharmacist	配藥者;藥劑師	⠏⠓⠜⠍⠁⠉⠊⠌
pharmacy	製藥業;藥房	⠏⠓⠜⠍⠁⠉⠽
pipeline	導管;輸油管	⠏⠊⠏⠑⠇⠔⠑
pitcher	大水罐;一壺的量;投手	⠏⠊⠞⠡⠻
plight	境況;困境	⠏⠇⠊⠣⠞
poacher	煮蛋用的鍋;蒸鍋;偷獵者	⠏⠕⠁⠡⠻
precedent	先例;慣例	⠏⠗⠑⠉⠫⠢⠞
precision	精確(性);準確(性);清晰(性)	⠏⠗⠑⠉⠊⠨⠝
predecessor	前任;祖先	⠏⠗⠫⠑⠉⠑⠎⠎⠕⠗
prediction	預言;預報	⠏⠗⠫⠊⠉⠰⠝
prescription	指示;法規;處方	⠏⠗⠑⠎⠉⠗⠊⠏⠰⠝
presidency	公司總裁(大學校長等)的職位	⠏⠗⠑⠎⠊⠙⠢⠉⠽
prestige	名望;聲望	⠏⠗⠑⠌⠊⠛⠑
productivity	生產力;生產率	⠏⠗⠕⠙⠥⠉⠞⠊⠧⠰⠽
proficiency	精通;熟練	⠏⠗⠷⠊⠉⠊⠢⠉⠽
prohibition	禁止;禁令	⠏⠗⠕⠓⠊⠃⠊⠰⠝
projection	規劃;投影;投射;預測	⠏⠗⠕⠚⠑⠉⠰⠝
propaganda	宣傳	⠏⠗⠕⠏⠁⠛⠯⠁
propeller	螺旋槳;推進器	⠏⠗⠕⠏⠑⠇⠇⠻
prosecution	起訴;告發	⠏⠗⠕⠎⠑⠉⠥⠰⠝
purity	純淨;清潔;純潔	⠏⠥⠗⠰⠽
qualification	資格；能力	⠟⠥⠁⠇⠊⠋⠊⠉⠁⠰⠝
questionnaire	問卷;意見調查表	⠐⠟⠝⠁⠊⠗⠑
radiation	放射線	⠗⠁⠙⠊⠁⠰⠝
realism	現實性;現實主義	⠗⠂⠇⠊⠎⠍
realization	領悟;體現	⠗⠂⠇⠊⠵⠁⠰⠝
recession	衰退	⠗⠑⠉⠑⠎⠨⠝
recommendation	推薦;推薦信	⠗⠑⠉⠕⠍⠍⠢⠙⠁⠰⠝
refinement	優雅；高雅;提煉；精煉	⠗⠑⠋⠔⠑⠰⠞
refreshment	茶點;精力恢復	⠗⠑⠋⠗⠑⠩⠰⠞
rehearsal	排練；試演;練習	⠗⠑⠓⠑⠜⠎⠁⠇
reliance	信任;依賴	⠗⠑⠇⠊⠨⠑
remainder	剩餘物;其餘的人;餘數	⠗⠑⠍⠁⠔⠙⠻
renaissance	文藝復興	⠗⠢⠁⠊⠎⠎⠨⠑
rental	租金;租賃;出租	⠗⠢⠞⠁⠇
resemblance	相似	⠗⠑⠎⠑⠍⠃⠇⠨⠑
reservoir	蓄水庫;貯水池	⠗⠑⠎⠻⠧⠕⠊⠗
restoration	恢復;復辟;修復;重建;歸還	⠗⠑⠌⠕⠗⠁⠰⠝
restraint	克制;控制;管押	⠗⠑⠌⠗⠁⠔⠞
revelation	揭示;顯示;天啟	⠗⠑⠧⠑⠇⠁⠰⠝
revenue	(國家的)歲入;稅收	⠗⠑⠧⠢⠥⠑
rotation	旋轉;自轉;輪流	⠗⠕⠞⠁⠰⠝
salvation	拯救;救星;救世	⠎⠁⠇⠧⠁⠰⠝
sanctuary	聖所;聖殿;庇護所	⠎⠁⠝⠉⠞⠥⠜⠽
sanitation	公共衛生;衛生設備	⠎⠁⠝⠊⠞⠁⠰⠝
seminar	專題討論(課或會議)	⠎⠑⠍⠔⠜
senator	參議員	⠎⠢⠁⠞⠕⠗
serenity	晴朗;平靜;沈著	⠎⠻⠢⠰⠽
serving	服務;侍候;(食物、飲料等)一份	⠎⠻⠧⠬
session	開庭;會期;講習會	⠎⠑⠎⠨⠝
sewer	污水管;下水道	⠎⠑⠺⠻
shilling	先令	⠩⠊⠇⠇⠬
simplicity	簡單;單純	⠎⠊⠍⠏⠇⠊⠉⠰⠽
slavery	奴隸身分;奴役	⠎⠇⠁⠧⠻⠽
socialist	社會主義者	⠎⠕⠉⠊⠁⠇⠊⠌
sodium	鈉	⠎⠕⠙⠊⠥⠍
solidarity	團結一致	⠎⠕⠇⠊⠙⠜⠰⠽
sovereignty	統治權;主權;主權國家	⠎⠕⠧⠻⠑⠊⠛⠝⠞⠽
sphere	球;球體;球形	⠎⠏⠐⠓
spokesperson	發言人	⠎⠏⠕⠅⠑⠎⠏⠻⠎⠕⠝
spouse	配偶	⠎⠏⠳⠎⠑
squad	班;小隊;小組	⠎⠟⠥⠁⠙
squash	擠壓;壓碎的東西;南瓜	⠎⠟⠥⠁⠩
stability	穩定;穩定性;安定	⠌⠁⠃⠊⠇⠰⠽
stapler	釘書機	⠌⠁⠏⠇⠻
starvation	飢餓;挨餓	⠌⠜⠧⠁⠰⠝
stationery	文具	⠌⠁⠰⠝⠻⠽
stature	身高;高度	⠌⠁⠞⠥⠗⠑
steamer	汽船;蒸鍋;蒸籠	⠌⠂⠍⠻
stimulation	刺激;興奮;激勵	⠌⠊⠍⠥⠇⠁⠰⠝
stimulus	刺激;刺激品;興奮劑	⠌⠊⠍⠥⠇⠥⠎
subscription	訂閱費;會費;捐款;署名	⠎⠥⠃⠎⠉⠗⠊⠏⠰⠝
substitution	代替;代替物	⠎⠥⠃⠌⠊⠞⠥⠰⠝
succession	連續;一連串;繼承權	⠎⠥⠒⠑⠎⠨⠝
successor	繼任者;繼承人	⠎⠥⠒⠑⠎⠎⠕⠗
superiority	優越;優勢;上級	⠎⠥⠏⠻⠊⠕⠗⠰⠽
supervision	管理;監督	⠎⠥⠏⠻⠧⠊⠨⠝
suspense	掛慮;懸疑;暫時停止	⠎⠥⠎⠏⠢⠎⠑
suspension	暫停;中止;停職	⠎⠥⠎⠏⠢⠨⠝
symptom	症狀；徵候	⠎⠽⠍⠏⠞⠕⠍
tariff	關稅;稅率	⠞⠜⠊⠋⠋
temperament	氣質;性情	⠞⠑⠍⠏⠻⠁⠰⠞
tempest	暴風雨;暴風雪;騷動	⠞⠑⠍⠏⠑⠌
theft	偷竊；盜竊	⠮⠋⠞
therapist	治療技師或專家	⠮⠗⠁⠏⠊⠌
therapy	治療；療法	⠮⠗⠁⠏⠽
thermometer	溫度計;寒暑錶	⠮⠗⠍⠕⠍⠑⠞⠻
threshold	門檻;開端;起點	⠹⠗⠑⠩⠕⠇⠙
thrift	節儉;繁茂;互助儲蓄銀行	⠹⠗⠊⠋⠞
tranquilizer	鎮定劑;精神安定劑	⠞⠗⠁⠝⠟⠥⠊⠇⠊⠵⠻
transaction	辦理;處置;執行;交易	⠞⠗⠁⠝⠎⠁⠉⠰⠝
transformation	變化;轉變;變形;變質	⠞⠗⠁⠝⠎⠿⠍⠁⠰⠝
transistor	電晶體	⠞⠗⠁⠝⠎⠊⠌⠕⠗
transition	過渡;過渡時期;轉變	⠞⠗⠁⠝⠎⠊⠰⠝
transmission	傳送;傳染;傳播;變速器;播送	⠞⠗⠁⠝⠎⠍⠊⠎⠨⠝
treason	叛國罪;謀反罪;叛國;背叛	⠞⠗⠂⠎⠕⠝
trophy	戰利品;獎品	⠞⠗⠕⠏⠓⠽
tuberculosis	結核病	⠞⠥⠃⠻⠉⠥⠇⠕⠎⠊⠎
turmoil	騷動;混亂	⠞⠥⠗⠍⠕⠊⠇
twilight	微明;薄暮;暮年;朦朧狀態	⠞⠺⠊⠇⠊⠣⠞
ulcer	潰瘍	⠥⠇⠉⠻
unemployment	失業;失業狀態	⠥⠝⠑⠍⠏⠇⠕⠽⠰⠞
upbringing	養育;教養	⠥⠏⠃⠗⠬⠬
urgency	緊急;迫切;急事	⠥⠗⠛⠢⠉⠽
urine	尿	⠥⠗⠔⠑
utensil	器皿;用具	⠥⠞⠢⠎⠊⠇
utility	效用;實用;公用事業	⠥⠞⠊⠇⠰⠽
vaccine	疫苗	⠧⠁⠒⠔⠑
validity	確實;有效性	⠧⠁⠇⠊⠙⠰⠽
variation	變化;變異	⠧⠜⠊⠁⠰⠝
vendor	小販	⠧⠢⠙⠕⠗
version	譯文;版本	⠧⠻⠨⠝
veteran	富有經驗的人;退役軍人	⠧⠑⠞⠻⠁⠝
veterinarian	獸醫	⠧⠑⠞⠻⠔⠜⠊⠁⠝
vibration	顫動;振動;震動	⠧⠊⠃⠗⠁⠰⠝
vineyard	葡萄園	⠧⠔⠑⠽⠜⠙
vitality	活力;生命力	⠧⠊⠞⠁⠇⠰⠽
vocation	行業;天職	⠧⠕⠉⠁⠰⠝
wardrobe	衣櫃;(個人的)全部服裝	⠺⠜⠙⠗⠕⠃⠑
warfare	戰爭;衝突;鬥爭	⠺⠜⠋⠜⠑
warranty	保證書;保單	⠺⠜⠗⠁⠝⠞⠽
windshield	(汽車等的)擋風玻璃	⠺⠔⠙⠩⠊⠑⠇⠙
zeal	熱心;熱誠	⠵⠂⠇
