abrupt	突然的;意外的	⠁⠃⠗⠥⠏⠞
modify	更改;修改	⠍⠕⠙⠊⠋⠽
moss	以苔覆蓋;使長滿苔蘚	⠍⠕⠎⠎
mound	築牆防衛;堆起;	⠍⠨⠙
mount	登上;騎上;鑲嵌;發動(攻勢)	⠍⠨⠞
mourn	哀痛;哀悼	⠍⠳⠗⠝
mumble	含糊地說;咕噥	⠍⠥⠍⠃⠇⠑
mutter	咕噥;抱怨	⠍⠥⠞⠞⠻
nag	使煩惱;糾纏不休;不斷嘮叨	⠝⠁⠛
navigate	航行於;飛行於;操縱;導航	⠝⠁⠧⠊⠛⠁⠞⠑
nibble	一點點地咬(或吃)	⠝⠊⠆⠇⠑
nickel	鍍鎳於	⠝⠊⠉⠅⠑⠇
nominate	提名;任命	⠝⠕⠍⠔⠁⠞⠑
notify	通知;公佈	⠝⠕⠞⠊⠋⠽
orient	使...朝東;定方位;使熟悉情況	⠕⠗⠊⠢⠞
ornament	裝飾;美化	⠕⠗⠝⠁⠰⠞
outdo	勝過;超越	⠳⠞⠙⠕
output	生產;使出;輸出	⠳⠞⠏⠥⠞
overdo	把...做得過分;使過於疲勞	⠕⠧⠻⠙⠕
overeat	吃得過飽	⠕⠧⠻⠂⠞
overflow	滿(或多)得溢出	⠕⠧⠻⠋⠇⠪
overhear	無意中聽到;偷聽	⠕⠧⠻⠓⠑⠜
oversleep	睡過頭	⠕⠧⠻⠎⠇⠑⠑⠏
overwhelm	壓倒;征服;使受不了	⠕⠧⠻⠱⠑⠇⠍
overwork	使工作過度;使過勞;過度使用	⠕⠧⠻⠐⠺
paddle	用槳划(船)	⠏⠁⠙⠙⠇⠑
patch	補綴;修補;拼湊	⠏⠁⠞⠡
patrol	巡邏;巡查	⠏⠁⠞⠗⠕⠇
peck	琢;輕吻	⠏⠑⠉⠅
peek	偷看;窺視	⠏⠑⠑⠅
peg	用木釘釘;用木夾夾	⠏⠑⠛
penetrate	穿過;透過;識破;滲透入	⠏⠢⠑⠞⠗⠁⠞⠑
perceive	察覺;感知;意識到	⠏⠻⠉⠧
perch	(鳥)飛落;棲息;(在較高處)暫歇	⠏⠻⠡
peril	使有危險;危及	⠏⠻⠊⠇
perish	消滅;暴卒;枯萎	⠏⠻⠊⠩
persist	堅持;固執	⠏⠻⠎⠊⠌
pinch	擰;夾	⠏⠔⠡
piss	小便	⠏⠊⠎⠎
pistol	用手槍射擊	⠏⠊⠌⠕⠇
plead	為(案件)辯護;懇求	⠏⠇⠂⠙
pledge	保證給予;許諾;發誓	⠏⠇⠫⠛⠑
plow	犁;耕;開(路);破(浪)前進	⠏⠇⠪
pluck	採;拔...的毛;扯	⠏⠇⠥⠉⠅
plunge	投入;將...插入;急降	⠏⠇⠥⠝⠛⠑
poke	戳;捅;撥弄	⠏⠕⠅⠑
preach	佈道;說教	⠏⠗⠂⠡
prevail	勝過;優勝;流行	⠏⠗⠑⠧⠁⠊⠇
preview	試演;試映	⠏⠗⠑⠧⠊⠑⠺
prey	捕食;掠奪	⠏⠗⠑⠽
prick	刺(穿);扎(穿);使內心極度痛苦	⠏⠗⠊⠉⠅
profile	畫側面像;描出輪廓;寫傳略	⠏⠗⠷⠊⠇⠑
prolong	延長;拉長;拖延	⠏⠗⠕⠇⠰⠛
prop	支撐;維持;架;擱	⠏⠗⠕⠏
proportion	使成比例;使平衡;分攤	⠏⠗⠕⠏⠕⠗⠰⠝
prospect	勘探;找礦	⠏⠗⠕⠎⠏⠑⠉⠞
prune	修剪;修整;修枝	⠏⠗⠥⠝⠑
publicize	宣傳;公佈;廣告	⠏⠥⠃⠇⠊⠉⠊⠵⠑
puff	一陣陣地吹;喘氣;用粉撲施粉	⠏⠥⠋⠋
pulse	搏動;跳動;振動	⠏⠥⠇⠎⠑
purchase	買；購買	⠏⠥⠗⠡⠁⠎⠑
quack	(鴨)呱呱叫	⠟⠥⠁⠉⠅
qualify	使具有資格	⠟⠥⠁⠇⠊⠋⠽
quiver	顫抖;抖動(翅膀等)	⠟⠥⠊⠧⠻
rack	把...放在架子上	⠗⠁⠉⠅
rally	召集;團結;重新振作	⠗⠁⠇⠇⠽
ranch	經營牧場(或農場)	⠗⠁⠝⠡
rattle	使發出咯咯聲;使驚惶失措	⠗⠁⠞⠞⠇⠑
reap	收割;收穫	⠗⠂⠏
reckon	認為;把...看作;覺得;測量	⠗⠑⠉⠅⠕⠝
recommend	推薦；介紹	⠗⠑⠉⠕⠍⠍⠢⠙
reel	捲;繞	⠗⠑⠑⠇
referee	為...擔任裁判;仲裁	⠗⠑⠋⠻⠑⠑
refute	駁斥;反駁	⠗⠑⠋⠥⠞⠑
reign	君臨;統治	⠗⠑⠊⠛⠝
rejoice	欣喜;慶祝	⠗⠚⠉
repay	償還;報答	⠗⠑⠏⠁⠽
reproduce	繁殖;複製	⠗⠑⠏⠗⠕⠙⠥⠉⠑
resent	憤慨;怨恨	⠗⠑⠎⠢⠞
reside	居住;駐在	⠗⠑⠎⠊⠙⠑
resort	訴諸;憑藉	⠗⠑⠎⠕⠗⠞
restrain	抑制;約束	⠗⠑⠌⠗⠁⠔
resume	重新開始;繼續;恢復	⠗⠑⠎⠥⠍⠑
retort	反駁;回嘴	⠗⠑⠞⠕⠗⠞
revive	復甦;恢復生機;使甦醒	⠗⠑⠧⠊⠧⠑
revolt	反叛;起義;使反感	⠗⠑⠧⠕⠇⠞
revolve	旋轉;自轉;以...為中心	⠗⠑⠧⠕⠇⠧⠑
rib	裝肋於;嘲弄	⠗⠊⠃
ridge	使成脊狀	⠗⠊⠙⠛⠑
rifle	洗劫；劫掠	⠗⠊⠋⠇⠑
rim	形成邊緣;顯出邊緣	⠗⠊⠍
rip	撕;扯	⠗⠊⠏
ripple	起漣漪;(頭髮等)呈波狀	⠗⠊⠏⠏⠇⠑
rival	與...競爭;比得上	⠗⠊⠧⠁⠇
roam	漫步;漫遊;流浪	⠗⠕⠁⠍
rumble	(雷等)隆隆響;(車輛)轆轆行駛	⠗⠥⠍⠃⠇⠑
rustle	(樹葉;紙等)沙沙作響;使沙沙作響	⠗⠥⠌⠇⠑
saddle	給(馬背)裝鞍;使負擔	⠎⠁⠙⠙⠇⠑
saint	使成為聖徒	⠎⠁⠔⠞
salute	向...行禮;向...致敬	⠎⠁⠇⠥⠞⠑
scan	細看;審視	⠎⠉⠁⠝
scar	結疤;留下傷痕	⠎⠉⠜
scent	嗅;聞	⠎⠉⠢⠞
scheme	策劃；密謀	⠎⠡⠑⠍⠑
scorn	輕蔑;藐視	⠎⠉⠕⠗⠝
scramble	攀爬;雜亂蔓延;爭奪	⠎⠉⠗⠁⠍⠃⠇⠑
scrap	將...作為廢物;將...拆毀	⠎⠉⠗⠁⠏
scrape	刮;擦;勉強過日子	⠎⠉⠗⠁⠏⠑
scroll	使成卷形;用渦卷飾裝飾	⠎⠉⠗⠕⠇⠇
segment	分割;切成片	⠎⠑⠛⠰⠞
sharpen	削尖；磨快	⠩⠜⠏⠢
shatter	粉碎;砸碎	⠩⠁⠞⠞⠻
shield	保護;庇護;掩蓋	⠩⠊⠑⠇⠙
shiver	發抖;打顫	⠩⠊⠧⠻
shove	推;撞;亂塞	⠩⠕⠧⠑
shred	切成條狀;用碎紙機撕毀(文件)	⠩⠗⠫
shriek	尖叫;發出尖聲	⠩⠗⠊⠑⠅
shudder	發抖;戰慄	⠩⠥⠙⠙⠻
shutter	為...裝遮板(或快門等);關(店)	⠩⠥⠞⠞⠻
simmer	煨;燉;(危機等)即將爆發	⠎⠊⠍⠍⠻
slam	猛地關上;砰地放下;打成滿貫	⠎⠇⠁⠍
slap	摑...耳光;侮辱	⠎⠇⠁⠏
slaughter	屠宰;屠殺	⠎⠇⠁⠥⠣⠞⠻
slay	殺死;殺害	⠎⠇⠁⠽
slump	(沈重地)倒下;(經濟)衰落	⠎⠇⠥⠍⠏
smash	粉碎;瓦解;殺球	⠎⠍⠁⠩
snarl	吠;咆哮;纏結	⠎⠝⠜⠇
snatch	奪走;抓住	⠎⠝⠁⠞⠡
sneak	偷偷地走；溜	⠎⠝⠂⠅
sniff	嗅;用力吸;抽鼻涕	⠎⠝⠊⠋⠋
snore	打鼾	⠎⠝⠕⠗⠑
snort	噴鼻息;輕蔑(或憤怒)地哼	⠎⠝⠕⠗⠞
soak	浸泡;使濕透	⠎⠕⠁⠅
soften	使變柔軟;使變和藹	⠎⠷⠞⠢
solo	單獨地;	⠎⠕⠇⠕
sow	播(種)	⠎⠪
sponge	(用海綿)揩拭;海綿般地吸收	⠎⠏⠰⠛⠑
spotlight	聚光照明;使公眾注意	⠎⠏⠕⠞⠇⠊⠣⠞
sprint	奮力而跑;衝刺	⠎⠏⠗⠔⠞
spur	用靴刺踢;鞭策;鼓勵	⠎⠏⠥⠗
squash	把...壓扁(壓碎);鎮壓	⠎⠟⠥⠁⠩
stack	把...疊成堆;堆放	⠌⠁⠉⠅
stagger	搖搖晃晃;蹣跚而行	⠌⠁⠶⠻
stain	沾污;染污;染色	⠌⠁⠔
stake	把...押下打賭；拿...冒險	⠌⠁⠅⠑
stall	把...關入畜舍;使拋錨;支吾;拖延	⠌⠁⠇⠇
startle	使驚嚇;使驚奇	⠌⠜⠞⠇⠑
steer	掌(船)舵；駕駛	⠌⠑⠻
stereotype	使成為陳規;把...澆鑄成鉛板	⠌⠻⠑⠕⠞⠽⠏⠑
stew	(用文火)燉;使極度不安;悶熱冒汗	⠌⠑⠺
stink	發惡臭;名聲臭	⠌⠔⠅
stoop	屈身;彎腰駝背;屈尊	⠌⠕⠕⠏
straighten	把...弄直;澄清	⠌⠗⠁⠊⠣⠞⠢
strain	拉緊;伸張;竭力;扭傷;過濾	⠌⠗⠁⠔
strand	使擱淺;處於困境	⠌⠗⠯
strap	用帶捆綁(或束住)	⠌⠗⠁⠏
streak	形成條紋;疾駛;閃現	⠌⠗⠂⠅
stride	邁大步走;跨越	⠌⠗⠊⠙⠑
stroll	散步;溜達	⠌⠗⠕⠇⠇
stumble	絆腳;絆倒;踉蹌	⠌⠥⠍⠃⠇⠑
stump	砍去...的幹;作巡迴政治演說	⠌⠥⠍⠏
stun	使昏迷;使大吃一驚	⠌⠥⠝
stutter	結結巴巴地說話	⠌⠥⠞⠞⠻
submit	提交;呈遞;使服從	⠎⠥⠃⠍⠊⠞
substitute	用...代替;代替	⠎⠥⠃⠌⠊⠞⠥⠞⠑
summon	召喚	⠎⠥⠍⠍⠕⠝
supervise	監督;管理;指導	⠎⠥⠏⠻⠧⠊⠎⠑
suppress	鎮壓;壓制;抑制	⠎⠥⠏⠏⠗⠑⠎⠎
surge	(海浪)洶湧;激增	⠎⠥⠗⠛⠑
suspend	使中止	⠎⠥⠎⠏⠢⠙
sustain	支撐;承受	⠎⠥⠌⠁⠔
swamp	使陷入沼澤;淹沒;使陷入困境	⠎⠺⠁⠍⠏
swarm	成群地移動(或飛行);擠滿	⠎⠺⠜⠍
sympathize	同情;憐憫	⠎⠽⠍⠏⠁⠹⠊⠵⠑
tackle	著手對付(或處理);擒抱並摔倒	⠞⠁⠉⠅⠇⠑
tangle	使糾結;使混亂	⠞⠁⠝⠛⠇⠑
tar	塗焦油於;玷污;污辱	⠞⠜
taunt	辱罵;嘲笑;奚落	⠞⠁⠥⠝⠞
tempt	引誘;誘惑	⠞⠑⠍⠏⠞
tenant	租；租賃;居住於	⠞⠢⠁⠝⠞
terrace	使成梯形地	⠞⠻⠗⠁⠉⠑
thrill	使興奮;使激動;使毛骨悚然;顫抖	⠹⠗⠊⠇⠇
throng	擠滿;湧入	⠹⠗⠰⠛
thrust	用力推;刺;插	⠹⠗⠥⠌
tick	發滴答聲;責備	⠞⠊⠉⠅
tile	鋪砌瓦(或瓷磚等)	⠞⠊⠇⠑
tilt	使傾斜;使翹起;偏向	⠞⠊⠇⠞
tin	把...裝罐	⠞⠔
tiptoe	踮著腳	⠞⠊⠏⠞⠕⠑
toil	苦幹;艱難地行進	⠞⠕⠊⠇
torch	如火炬般地燃燒	⠞⠕⠗⠡
torment	使痛苦;折磨;煩擾	⠞⠕⠗⠰⠞
torture	拷打;拷問;折磨	⠞⠕⠗⠞⠥⠗⠑
tramp	腳步沈重地行走;踐踏;流浪	⠞⠗⠁⠍⠏
trample	踩;踐踏;蔑視	⠞⠗⠁⠍⠏⠇⠑
trench	挖溝;挖戰壕	⠞⠗⠢⠡
trifle	戲弄;輕視	⠞⠗⠊⠋⠇⠑
trot	(馬等)小跑;(人)慢跑	⠞⠗⠕⠞
tuck	把...塞進;使有褶襉	⠞⠥⠉⠅
umpire	仲裁;當裁判	⠥⠍⠏⠊⠗⠑
underline	劃線於...之下;強調	⠐⠥⠇⠔⠑
update	使...合乎時代;更新	⠥⠏⠙⠁⠞⠑
vacuum	吸塵	⠧⠁⠉⠥⠥⠍
veil	用帷幕分隔;掩飾;戴面紗	⠧⠑⠊⠇
venture	冒險;大膽行事	⠧⠢⠞⠥⠗⠑
veto	否決;反對	⠧⠑⠞⠕
vibrate	顫動;振動;震動	⠧⠊⠃⠗⠁⠞⠑
videotape	將(節目)錄到帶子上	⠧⠊⠙⠑⠕⠞⠁⠏⠑
vow	發誓要;鄭重宣告	⠧⠪
wade	涉水而行;艱難地前進	⠺⠁⠙⠑
wail	慟哭;(警笛等)尖嘯;哀訴	⠺⠁⠊⠇
ward	避開;擋開	⠺⠜⠙
warehouse	把...存入倉庫	⠺⠜⠑⠓⠳⠎⠑
wharf	靠碼頭	⠱⠜⠋
whine	發哀鳴聲;發牢騷	⠱⠔⠑
whirl	旋轉;迴旋	⠱⠊⠗⠇
whisk	撢;打(蛋等);	⠱⠊⠎⠅
widow	使成寡婦(或鰥夫)	⠺⠊⠙⠪
wither	枯萎;凋謝	⠾⠻
worship	崇拜;拜神;做禮拜	⠺⠕⠗⠩⠊⠏
wring	絞;擰;緊握	⠺⠗⠬
yacht	駕快艇;乘遊艇	⠽⠁⠡⠞
yarn	講故事;長談	⠽⠜⠝
yield	出產;使屈服;讓路	⠽⠊⠑⠇⠙
zip	以尖嘯聲行進;拉開拉鍊	⠵⠊⠏
zoom	發出嗡嗡聲;將畫面推近或拉遠	⠵⠕⠕⠍
awhile	片刻	⠁⠱⠊⠇⠑
beforehand	事先;提前地	⠆⠋⠓⠯
downwards	向下	⠙⠪⠝⠺⠜⠙⠎
hence	因此;由此	⠓⠰⠑
inwards	向內	⠔⠺⠜⠙⠎
meantime	其間;同時	⠍⠂⠝⠐⠞
nonetheless	但是;仍然	⠝⠐⠕⠮⠨⠎
nowhere	任何地方都不	⠝⠕⠐⠱
outwards	向外;出海；出港;顯而易見地	⠳⠞⠺⠜⠙⠎
partly	部分地	⠐⠏⠇⠽
undoubtedly	毫無疑問地;肯定地	⠥⠝⠙⠳⠃⠞⠫⠇⠽
upwards	向上地；朝上	⠥⠏⠺⠜⠙⠎
whereabouts	在哪裡	⠐⠱⠁⠃⠎
midst	在...之中	⠍⠊⠙⠌
versus	(常略作v.或vs.)與...相對	⠧⠻⠎⠥⠎
via	經由;取道;憑藉	⠧⠊⠁
lest	惟恐;免得;擔心	⠇⠑⠌
whereas	(常用在句首)反之;而	⠐⠱⠁⠎
abortion	墮胎	⠁⠃⠕⠗⠰⠝
academy	學院;大學;研究院	⠁⠉⠁⠙⠑⠍⠽
acknowledgement	承認;確認;致謝;回音;公證狀	⠁⠉⠐⠅⠇⠫⠛⠑⠰⠞
acne	粉刺	⠁⠉⠝⠑
admiral	艦隊司令;	⠁⠙⠍⠊⠗⠁⠇
adolescence	青春期	⠁⠙⠕⠇⠑⠎⠉⠰⠑
adulthood	成年(期)	⠁⠙⠥⠇⠞⠓⠕⠕⠙
advertiser	刊登廣告者;廣告客戶	⠁⠙⠧⠻⠞⠊⠎⠻
affection	愛慕;鍾愛	⠁⠖⠑⠉⠰⠝
agenda	議程	⠁⠛⠢⠙⠁
agony	極度痛苦	⠁⠛⠕⠝⠽
AI	人工智慧	⠠⠠⠁⠊
airway	風道;氣道;航空公司	⠁⠊⠗⠺⠁⠽
aisle	通道;走道	⠁⠊⠎⠇⠑
algebra	代數	⠁⠇⠛⠑⠃⠗⠁
allergy	過敏症	⠁⠇⠇⠻⠛⠽
alligator	短吻鱷	⠁⠇⠇⠊⠛⠁⠞⠕⠗
altitude	高度;海拔	⠁⠇⠞⠊⠞⠥⠙⠑
anthem	國歌;頌歌	⠁⠝⠮⠍
applause	鼓掌歡迎；喝采	⠁⠏⠏⠇⠁⠥⠎⠑
architect	建築師	⠜⠡⠊⠞⠑⠉⠞
architecture	建築學	⠜⠡⠊⠞⠑⠉⠞⠥⠗⠑
arena	體育場;競技場	⠜⠢⠁
ass	驢子;笨蛋;太自負的人	⠁⠎⠎
asset	財產；資產	⠁⠎⠎⠑⠞
astonishment	驚訝;驚愕	⠁⠌⠕⠝⠊⠩⠰⠞
astronaut	太空人；宇航員	⠁⠌⠗⠕⠝⠁⠥⠞
astronomer	天文學家	⠁⠌⠗⠕⠝⠕⠍⠻
astronomy	天文學	⠁⠌⠗⠕⠝⠕⠍⠽
attendance	出席;出席人數;侍候	⠁⠞⠞⠢⠙⠨⠑
auditorium	會堂;禮堂	⠁⠥⠙⠊⠞⠕⠗⠊⠥⠍
auxiliary	輔助者;助動詞	⠁⠥⠭⠊⠇⠊⠜⠽
bachelor	單身漢	⠃⠁⠡⠑⠇⠕⠗
backbone	脊柱;支柱;骨幹	⠃⠁⠉⠅⠃⠐⠕
badge	徽章;證章	⠃⠁⠙⠛⠑
bandit	強盜;土匪	⠃⠯⠊⠞
banner	旗幟;橫幅;大標題	⠃⠁⠝⠝⠻
barbershop	理髮店	⠃⠜⠃⠻⠩⠕⠏
batch	一批;一群;一爐;一團	⠃⠁⠞⠡
bazaar	(中東的)市場;商店街;義賣	⠃⠁⠵⠁⠜
behalf	代表	⠆⠓⠁⠇⠋
belongings	財產;攜帶物品	⠆⠇⠰⠛⠬⠎
blacksmith	鐵匠	⠃⠇⠁⠉⠅⠎⠍⠊⠹
blizzard	大風雪	⠃⠇⠊⠵⠵⠜⠙
blues	藍調;憂鬱	⠃⠇⠥⠑⠎
bodyguard	保鏢;護衛隊	⠃⠕⠙⠽⠛⠥⠜⠙
bonus	獎金;額外津貼;分紅	⠃⠕⠝⠥⠎
booth	(有篷的)貨攤;崗亭;(餐廳等)雅座	⠃⠕⠕⠹
boredom	無聊;厭倦	⠃⠕⠗⠫⠕⠍
bosom	胸;乳房;(衣服的)襟;胸懷	⠃⠕⠎⠕⠍
botany	植物學;(總稱)一個地區的植物	⠃⠕⠞⠁⠝⠽
boulevard	林蔭大道;大馬路	⠃⠳⠇⠑⠧⠜⠙
boundary	邊界;分界線;界限	⠃⠨⠙⠜⠽
bowel	腸;內部;深處	⠃⠪⠑⠇
boxer	拳擊手;拳師;拳師狗	⠃⠕⠭⠻
boxing	拳擊;拳術;裝箱	⠃⠕⠭⠬
boyhood	(男姓的)童年	⠃⠕⠽⠓⠕⠕⠙
breadth	寬度;幅度;寬宏	⠃⠗⠂⠙⠹
briefcase	公事包	⠃⠗⠊⠑⠋⠉⠁⠎⠑
brooch	女用胸針(或領針)	⠃⠗⠕⠕⠡
broth	(用肉、蔬菜等煮成的)湯	⠃⠗⠕⠹
brotherhood	兄弟關係;同志關係	⠃⠗⠕⠮⠗⠓⠕⠕⠙
bulk	體積;容積;大塊;大多數	⠃⠥⠇⠅
bureau	事務處	⠃⠥⠗⠂⠥
cactus	仙人掌	⠉⠁⠉⠞⠥⠎
calf	小牛;(鯨、象等的)幼兒;小腿	⠉⠁⠇⠋
calligraphy	書法;筆跡	⠉⠁⠇⠇⠊⠛⠗⠁⠏⠓⠽
canal	運河;河渠	⠉⠁⠝⠁⠇
carbon	碳;複寫紙	⠉⠜⠃⠕⠝
cardboard	硬紙板;卡紙板	⠉⠜⠙⠃⠕⠜⠙
caretaker	照顧者;管理人	⠉⠜⠑⠞⠁⠅⠻
carnation	康乃馨;淡紅色	⠉⠜⠝⠁⠰⠝
carnival	狂歡節;嘉年華會	⠉⠜⠝⠊⠧⠁⠇
carp	鯉魚	⠉⠜⠏
carton	紙盒;紙板箱	⠉⠜⠞⠕⠝
category	種類;類別	⠉⠁⠞⠑⠛⠕⠗⠽
cathedral	大教堂	⠉⠁⠮⠙⠗⠁⠇
celebrity	名人;名流	⠉⠑⠇⠑⠃⠗⠰⠽
celery	芹菜	⠉⠑⠇⠻⠽
cello	大提琴	⠉⠑⠇⠇⠕
cellphone	手機；大哥大	⠉⠑⠇⠇⠏⠓⠐⠕
cell-phone	手機；大哥大	⠉⠑⠇⠇⠤⠏⠓⠐⠕
cellular	phone	⠉⠑⠇⠇⠥⠇⠜
ceremony	儀式；典禮	⠉⠻⠑⠍⠕⠝⠽
chair	椅子	⠡⠁⠊⠗
chairman	主席	⠡⠁⠊⠗⠍⠁⠝
chairperson	主席(沒有性別歧視的字眼)	⠡⠁⠊⠗⠏⠻⠎⠕⠝
chairwoman	女主席;女議長	⠡⠁⠊⠗⠺⠕⠍⠁⠝
checkbook	支票簿	⠡⠑⠉⠅⠃⠕⠕⠅
check-in	辦理投宿(或登機)手續;報到	⠡⠑⠉⠅⠤⠔
check-out	檢查;調查;付款退租;下班離開	⠡⠑⠉⠅⠤⠳
checkup	檢查;體檢	⠡⠑⠉⠅⠥⠏
chef	(餐館等的)主廚;大師傅	⠡⠑⠋
chemist	化學家	⠡⠑⠍⠊⠌
chili	紅番椒	⠡⠊⠇⠊
chimpanzee	黑猩猩	⠡⠊⠍⠏⠁⠝⠵⠑⠑
choir	(教堂的)唱詩班;合唱團	⠡⠕⠊⠗
chord	(樂器的)弦;心弦;弦桿;和音	⠡⠕⠗⠙
circuit	環道;一圈;巡迴路線;電路	⠉⠊⠗⠉⠥⠊⠞
clam	蛤;蚌;守口如瓶的人	⠉⠇⠁⠍
clan	氏族;部落;家族	⠉⠇⠁⠝
clause	(文件的)條款;子句	⠉⠇⠁⠥⠎⠑
clover	苜蓿	⠉⠇⠕⠧⠻
coastline	海岸線	⠉⠕⠁⠌⠇⠔⠑
colleague	同事；同僚	⠉⠕⠇⠇⠂⠛⠥⠑
colonel	陸軍上校	⠉⠕⠇⠕⠝⠑⠇
comedian	喜劇演員	⠉⠕⠍⠫⠊⠁⠝
comet	彗星	⠉⠕⠍⠑⠞
commentator	(電臺、電視臺等)時事評論者	⠉⠕⠍⠰⠞⠁⠞⠕⠗
commodity	商品;日用品	⠉⠕⠍⠍⠕⠙⠰⠽
communism	共產主義	⠉⠕⠍⠍⠥⠝⠊⠎⠍
commuter	通勤者	⠉⠕⠍⠍⠥⠞⠻
compassion	憐憫;同情	⠉⠕⠍⠏⠁⠎⠨⠝
comprehension	理解;理解力	⠉⠕⠍⠏⠗⠑⠓⠢⠨⠝
comrade	夥伴;同事;(共產黨的)同志	⠉⠕⠍⠗⠁⠙⠑
confession	承認;供認;告解	⠒⠋⠑⠎⠨⠝
contempt	輕視;(對法庭等的)藐視	⠒⠞⠑⠍⠏⠞
continuity	連續性;一貫性	⠒⠞⠔⠥⠰⠽
corporation	股份(有限)公司	⠉⠕⠗⠏⠕⠗⠁⠰⠝
correspondence	一致;相對應;通信;(總稱)信件	⠉⠕⠗⠗⠑⠎⠏⠕⠝⠙⠰⠑
corridor	迴廊；通道	⠉⠕⠗⠗⠊⠙⠕⠗
counselor	顧問;(學生的)輔導員;律師	⠉⠳⠝⠎⠑⠇⠕⠗
coupon	回數票;減價優待券	⠉⠳⠏⠕⠝
courtyard	庭院;天井	⠉⠳⠗⠞⠽⠜⠙
cracker	(淡或鹹的)薄脆餅乾;鞭炮	⠉⠗⠁⠉⠅⠻
creek	小河;溪	⠉⠗⠑⠑⠅
crocodile	鱷魚	⠉⠗⠕⠉⠕⠙⠊⠇⠑
crossing	交叉;交叉點；橫穿;雜交	⠉⠗⠕⠎⠎⠬
cuisine	烹飪(法);菜餚	⠉⠥⠊⠎⠔⠑
currency	通貨;貨幣	⠉⠥⠗⠗⠢⠉⠽
curriculum	學校的全部課程	⠉⠥⠗⠗⠊⠉⠥⠇⠥⠍
customs	關稅;報關手續;海關出入境口	⠉⠥⠌⠕⠍⠎
declaration	宣佈；宣告;宣言；聲明	⠙⠑⠉⠇⠜⠁⠰⠝
delegation	授權;代表團	⠙⠑⠇⠑⠛⠁⠰⠝
democrat	民主主義者	⠙⠑⠍⠕⠉⠗⠁⠞
denial	否認;拒絕	⠙⠢⠊⠁⠇
destination	目的地；終點	⠙⠑⠌⠔⠁⠰⠝
destiny	命運;天數	⠙⠑⠌⠔⠽
detergent	洗潔劑；洗衣粉	⠙⠑⠞⠻⠛⠢⠞
devotion	奉獻	⠙⠑⠧⠕⠰⠝
dialect	方言	⠙⠊⠁⠇⠑⠉⠞
disbelief	不信;懷疑	⠲⠃⠑⠇⠊⠑⠋
disciple	信徒;門徒	⠲⠉⠊⠏⠇⠑
distinction	區別;殊勳;榮譽	⠲⠞⠔⠉⠰⠝
doorstep	門階	⠙⠕⠕⠗⠌⠑⠏
doorway	出入口;門口	⠙⠕⠕⠗⠺⠁⠽
dormitory	學生宿舍	⠙⠕⠗⠍⠊⠞⠕⠗⠽
dough	生麵糰;現款	⠙⠳⠣
dresser	衣櫃	⠙⠗⠑⠎⠎⠻
dressing	打扮;佈置；裝飾;(拌沙拉等用的)調料	⠙⠗⠑⠎⠎⠬
driveway	車道	⠙⠗⠊⠧⠑⠺⠁⠽
duration	持續；持久	⠙⠥⠗⠁⠰⠝
dusk	薄暮；黃昏	⠙⠥⠎⠅
dwelling	住處;寓所	⠙⠺⠑⠇⠇⠬
eel	鰻魚	⠑⠑⠇
ego	自我;自負	⠑⠛⠕
enrollment	登記;入會;入伍;登記人數	⠢⠗⠕⠇⠇⠰⠞
enterprise	企業；公司	⠢⠞⠻⠏⠗⠊⠎⠑
estate	地產	⠑⠌⠁⠞⠑
ethic	倫理標準	⠑⠹⠊⠉
exaggeration	誇張	⠑⠭⠁⠶⠻⠁⠰⠝
extension	伸長;擴大;延期	⠑⠭⠞⠢⠨⠝
eyelash	(一根)睫毛;(一根)眼毛	⠑⠽⠑⠇⠁⠩
eyelid	眼皮;眼瞼	⠑⠽⠑⠇⠊⠙
fabric	布料;織品	⠋⠁⠃⠗⠊⠉
fad	一時的流行(或風尚)	⠋⠁⠙
Fahrenheit	華氏溫標	⠠⠋⠁⠓⠗⠢⠓⠑⠊⠞
fertilizer	肥料	⠋⠻⠞⠊⠇⠊⠵⠻
fiancé	未婚夫	⠋⠊⠁⠝⠉⠘⠌⠑
fiancée	未婚妻	⠋⠊⠁⠝⠉⠘⠌⠑⠑
fiber	纖維	⠋⠊⠃⠻
fin	鰭;鰭狀物	⠋⠔
fishery	漁業	⠋⠊⠩⠻⠽
fluency	流暢;流暢的說話(或寫作)	⠋⠇⠥⠢⠉⠽
foe	敵人;反對者	⠋⠕⠑
foil	箔;花劍劍術	⠋⠕⠊⠇
folklore	民間傳說	⠋⠕⠇⠅⠇⠕⠗⠑
fowl	禽;禽肉	⠋⠪⠇
fraction	小部分;片段;碎片	⠋⠗⠁⠉⠰⠝
framework	架構;組織	⠋⠗⠁⠍⠑⠐⠺
frontier	邊境;邊疆;新領域	⠋⠗⠕⠝⠞⠊⠻
fury	狂怒;狂暴;猛烈	⠋⠥⠗⠽
garment	服裝;衣著	⠛⠜⠰⠞
gathering	集會；聚集	⠛⠁⠮⠗⠬
gender	性別	⠛⠢⠙⠻
geometry	幾何學	⠛⠑⠕⠍⠑⠞⠗⠽
glacier	冰河	⠛⠇⠁⠉⠊⠻
glee	快樂;歡欣	⠛⠇⠑⠑
gorilla	大猩猩	⠛⠕⠗⠊⠇⠇⠁
gospel	基督教教義;福音書	⠛⠕⠎⠏⠑⠇
