accurate	準確的	⠁⠒⠥⠗⠁⠞⠑
identity	身分	⠊⠙⠢⠞⠰⠽
ignorance	無知；不學無術;愚昧	⠊⠛⠝⠕⠗⠨⠑
imagination	想像力;創造力	⠊⠍⠁⠛⠔⠁⠰⠝
injury	傷害	⠔⠚⠥⠗⠽
inn	小旅館；客棧	⠔⠝
inspector	檢查員;視察員;督察員	⠔⠎⠏⠑⠉⠞⠕⠗
instruction	教學；講授	⠔⠌⠗⠥⠉⠰⠝
introduction	介紹;正式引見	⠔⠞⠗⠕⠙⠥⠉⠰⠝
inventor	發明家	⠔⠧⠢⠞⠕⠗
jar	罐；罈	⠚⠜
journal	日報;雜誌;期刊;日誌	⠚⠳⠗⠝⠁⠇
justice	正義;公平	⠚⠥⠌⠊⠉⠑
kangaroo	袋鼠	⠅⠁⠝⠛⠜⠕⠕
keyboard	鍵盤	⠅⠑⠽⠃⠕⠜⠙
kilometer	公里	⠅⠊⠇⠕⠍⠑⠞⠻
ladder	梯子	⠇⠁⠙⠙⠻
laughter	笑;笑聲	⠇⠁⠥⠣⠞⠻
leather	皮革	⠇⠂⠮⠗
lens	透鏡;鏡片	⠇⠢⠎
liar	說謊的人	⠇⠊⠜
liberty	自由;自由權	⠇⠊⠃⠻⠞⠽
librarian	圖書館員	⠇⠊⠃⠗⠜⠊⠁⠝
lifeguard	救生員	⠇⠊⠋⠑⠛⠥⠜⠙
lifetime	一生；終身	⠇⠊⠋⠑⠐⠞
lighthouse	燈塔	⠇⠊⠣⠞⠓⠳⠎⠑
linen	亞麻布製品(如床單；桌巾；內衣等)	⠇⠔⠢
lipstick	口紅	⠇⠊⠏⠌⠊⠉⠅
liver	肝臟	⠇⠊⠧⠻
lobby	大廳;門廊	⠇⠕⠆⠽
lobster	龍蝦	⠇⠕⠃⠌⠻
lord	(大寫)上帝；基督	⠐⠇
loudspeaker	揚聲器；擴聲器；喇叭	⠇⠳⠙⠎⠏⠂⠅⠻
luggage	行李	⠇⠥⠶⠁⠛⠑
majority	過半數；大多數	⠍⠁⠚⠕⠗⠰⠽
manager	經理	⠍⠁⠝⠁⠛⠻
mankind	人類	⠍⠁⠝⠅⠔⠙
manners	禮貌;規矩;風俗；習慣	⠍⠁⠝⠝⠻⠎
marble	大理石	⠍⠜⠃⠇⠑
math	數學	⠍⠁⠹
mathematics	數學	⠍⠁⠮⠍⠁⠞⠊⠉⠎
meadow	草地；牧草地	⠍⠂⠙⠪
medal	獎章；紀念章；勳章	⠍⠫⠁⠇
media	媒介物;新聞媒介	⠍⠫⠊⠁
medium	中間;中庸;媒體;工具;傳播媒介	⠍⠫⠊⠥⠍
membership	會員身分	⠍⠑⠍⠃⠻⠩⠊⠏
merchant	商人	⠍⠻⠡⠁⠝⠞
microphone	麥克風	⠍⠊⠉⠗⠕⠏⠓⠐⠕
might	力量；威力	⠍⠊⠣⠞
miner	礦工	⠍⠔⠻
minority	少數;少數民族;未成年	⠍⠔⠕⠗⠰⠽
misery	痛苦;不幸;悲慘;窮困	⠍⠊⠎⠻⠽
mission	使節團;使命；任務	⠍⠊⠎⠨⠝
moisture	濕氣	⠍⠕⠊⠌⠥⠗⠑
mystery	神祕；祕密	⠍⠽⠌⠻⠽
necessity	必需品	⠝⠑⠉⠑⠎⠎⠰⠽
neighborhood	近鄰	⠝⠑⠊⠣⠃⠕⠗⠓⠕⠕⠙
nerve	神經	⠝⠻⠧⠑
network	電視網;電腦網絡	⠝⠑⠞⠐⠺
novelist	小說家	⠝⠕⠧⠑⠇⠊⠌
operator	接線生;運算符號	⠕⠏⠻⠁⠞⠕⠗
opportunity	機會;良機	⠕⠏⠏⠕⠗⠞⠥⠝⠰⠽
origin	起源;由來	⠕⠗⠊⠛⠔
overcoat	外套；大衣	⠕⠧⠻⠉⠕⠁⠞
ownership	物主身分;所有權	⠪⠝⠻⠩⠊⠏
paradise	樂園	⠏⠜⠁⠙⠊⠎⠑
passion	熱情；激情;酷愛	⠏⠁⠎⠨⠝
password	密碼;口令;暗語	⠏⠁⠎⠎⠘⠺
patience	耐心;忍耐;耐性;毅力	⠏⠁⠞⠊⠰⠑
pavement	鋪築過的地面;人行道	⠏⠁⠧⠑⠰⠞
pearl	珍珠	⠏⠑⠜⠇
penny	便士;一便士硬幣	⠏⠢⠝⠽
performance	演出;演奏;表演	⠏⠻⠿⠍⠨⠑
permission	允許；許可；同意	⠏⠻⠍⠊⠎⠨⠝
personality	人格；品格	⠏⠻⠎⠕⠝⠁⠇⠰⠽
pest	；害蟲;有害的植物	⠏⠑⠌
pine	松樹	⠏⠔⠑
pint	品脫(英美容量或液量名)	⠏⠔⠞
plumber	管子工；鉛管工	⠏⠇⠥⠍⠃⠻
porcelain	瓷;(總稱)瓷器	⠏⠕⠗⠉⠑⠇⠁⠔
postage	郵資；郵費	⠏⠕⠌⠁⠛⠑
poster	招貼；海報；廣告(畫)	⠏⠕⠌⠻
postponement	延期;延緩	⠏⠕⠌⠏⠐⠕⠰⠞
pottery	陶器	⠏⠕⠞⠞⠻⠽
poverty	貧窮；貧困	⠏⠕⠧⠻⠞⠽
prayer	祈禱；禱告	⠏⠗⠁⠽⠻
preparation	準備；預備	⠏⠗⠑⠏⠜⠁⠰⠝
priest	牧師;神父	⠏⠗⠊⠑⠌
proof	證據;物證;證明	⠏⠗⠕⠷
property	財產；資產	⠏⠗⠕⠏⠻⠞⠽
protection	保護	⠏⠗⠕⠞⠑⠉⠰⠝
radar	雷達	⠗⠁⠙⠜
raisin	葡萄乾	⠗⠁⠊⠎⠔
reaction	反應；感應	⠗⠑⠁⠉⠰⠝
receiver	受領人;收件人；收款人	⠗⠉⠧⠗
recorder	錄影機;錄音機	⠗⠑⠉⠕⠗⠙⠻
replacement	取代;接替	⠗⠑⠏⠇⠁⠉⠑⠰⠞
resource	資源;物力；財力	⠗⠑⠎⠳⠗⠉⠑
responsibility	責任	⠗⠑⠎⠏⠕⠝⠎⠊⠃⠊⠇⠰⠽
ribbon	緞帶;絲帶	⠗⠊⠆⠕⠝
robber	搶劫者；強盜	⠗⠕⠆⠻
robbery	搶劫;盜取;搶劫案	⠗⠕⠆⠻⠽
saucer	淺碟	⠎⠁⠥⠉⠻
saving	挽救;節儉；節約;儲金	⠎⠁⠧⠬
scarecrow	稻草人;威嚇物	⠎⠉⠜⠑⠉⠗⠪
scarf	圍巾	⠎⠉⠜⠋
scholar	學者	⠎⠡⠕⠇⠜
scholarship	獎學金	⠎⠡⠕⠇⠜⠩⠊⠏
security	安全;保安;保障;證券；債券證券；債券	⠎⠑⠉⠥⠗⠰⠽
separation	分開;分離	⠎⠑⠏⠜⠁⠰⠝
shepherd	牧羊人	⠩⠑⠏⠓⠻⠙
similarity	類似;相似	⠎⠊⠍⠊⠇⠜⠰⠽
situation	處境；境遇	⠎⠊⠞⠥⠁⠰⠝
skyscraper	摩天樓	⠎⠅⠽⠎⠉⠗⠁⠏⠻
spaghetti	義大利麵條	⠎⠏⠁⠣⠑⠞⠞⠊
stadium	體育場；運動場;球場;競技場	⠌⠁⠙⠊⠥⠍
statue	雕像；塑像	⠌⠁⠞⠥⠑
stepchild	繼子(或繼女)	⠌⠑⠏⠡⠊⠇⠙
stepfather	繼父；後父	⠌⠑⠏⠐⠋
stepmother	繼母；後母	⠌⠑⠏⠐⠍
stereo	立體音響裝置	⠌⠻⠑⠕
stocking	長襪	⠌⠕⠉⠅⠬
stomach	胃	⠌⠕⠍⠁⠡
stool	凳子;擱腳凳;解大便	⠌⠕⠕⠇
strategy	策略；計謀	⠌⠗⠁⠞⠑⠛⠽
strength	力量；力氣	⠌⠗⠢⠛⠹
studio	工作室；畫室;雕塑室;照相館	⠌⠥⠙⠊⠕
substance	物質;主旨;要義	⠎⠥⠃⠌⠨⠑
summary	總結；摘要	⠎⠥⠍⠍⠜⠽
sword	劍；刀	⠎⠘⠺
system	系統	⠎⠽⠌⠑⠍
technique	技巧;技術	⠞⠑⠡⠝⠊⠟⠥⠑
technology	工藝學;工藝	⠞⠑⠡⠝⠕⠇⠕⠛⠽
temper	情緒;脾氣;暴躁	⠞⠑⠍⠏⠻
temperature	溫度	⠞⠑⠍⠏⠻⠁⠞⠥⠗⠑
territory	領土；版圖	⠞⠻⠗⠊⠞⠕⠗⠽
theory	學說;論說	⠮⠕⠗⠽
thirst	渴；口渴	⠹⠊⠗⠌
threat	威脅；恐嚇	⠹⠗⠂⠞
timber	木材;樹林	⠞⠊⠍⠃⠻
tobacco	菸草;煙葉	⠞⠕⠃⠁⠒⠕
tourism	旅遊；觀光	⠞⠳⠗⠊⠎⠍
tourist	旅遊者；觀光者	⠞⠳⠗⠊⠌
trader	商人;交易人	⠞⠗⠁⠙⠻
traveler	旅客;遊客	⠞⠗⠁⠧⠑⠇⠻
trend	趨勢；傾向;時尚	⠞⠗⠢⠙
twin	孿生兒	⠞⠺⠔
typewriter	打字機	⠞⠽⠏⠑⠺⠗⠊⠞⠻
unity	整體;一貫性	⠥⠝⠰⠽
universe	宇宙	⠥⠝⠊⠧⠻⠎⠑
variety	多樣化；變化	⠧⠜⠊⠑⠞⠽
verse	詩;韻文	⠧⠻⠎⠑
vest	背心	⠧⠑⠌
vice-president	副(總統、校長、總裁等)	⠧⠊⠉⠑⠤⠏⠗⠑⠎⠊⠙⠢⠞
violence	暴力行為	⠧⠊⠕⠇⠰⠑
vision	視力;視覺;洞察力	⠧⠊⠨⠝
vitamin	維他命	⠧⠊⠞⠁⠍⠔
warmth	溫暖;親切;熱情	⠺⠜⠍⠹
wealth	財富;大量	⠺⠂⠇⠹
wheat	小麥	⠱⠂⠞
willow	柳	⠺⠊⠇⠇⠪
wrist	手腕	⠺⠗⠊⠌
youngster	年輕人	⠐⠽⠌⠻
